External Library Name;Link to License;License Name;Copyright Notice Included (Yes/No);Source Code Included (Yes/No);Counsel LDAP and Authorization Date;repository_type;repository_URL;is_runtime;license_category
itoa-1.0.17;https://raw.githubusercontent.com/dtolnay/itoa/1.0.17/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/itoa;NOT_KNOWN;notice
jq.bzl-0.1.0;https://raw.githubusercontent.com/bazel-contrib/jq.bzl/v0.1.0/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazel-contrib/jq.bzl;NOT_KNOWN;notice
lazy_static-1.5.0;https://raw.githubusercontent.com/rust-lang-nursery/lazy-static.rs/1.5.0/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-lang-nursery/lazy-static.rs;NOT_KNOWN;notice
libc-0.2.180;https://raw.githubusercontent.com/rust-lang/libc/0.2.180/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-lang/libc;NOT_KNOWN;notice
linux-raw-sys-0.11.0;https://raw.githubusercontent.com/sunfishcode/linux-raw-sys/v0.11.0/LICENSE-APACHE;Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT;Yes;No;N/A;crates|github;https://github.com/sunfishcode/linux-raw-sys;NOT_KNOWN;notice
litemap-0.7.4;https://raw.githubusercontent.com/unicode-org/icu4x/main/LICENSE;Unicode-3.0;Yes;No;N/A;crates|github;https://github.com/unicode-org/icu4x;NOT_KNOWN;notice
litemap-0.8.1;https://raw.githubusercontent.com/unicode-org/icu4x/main/LICENSE;Unicode-3.0;Yes;No;N/A;crates|github;https://github.com/unicode-org/icu4x;NOT_KNOWN;notice
llvm.llvm-project-20.1.0;https://raw.githubusercontent.com/llvm/llvm-project/main/LICENSE.TXT;Other;Yes;No;N/A;github;https://github.com/llvm/llvm-project;NOT_KNOWN;notice
lock_api-0.4.14;https://raw.githubusercontent.com/Amanieu/parking_lot/lock_api-v0.4.14/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/Amanieu/parking_lot;NOT_KNOWN;notice
log-0.4.29;https://raw.githubusercontent.com/rust-lang/log/0.4.29/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-lang/log;NOT_KNOWN;notice
log-mdc-0.1.0;https://raw.githubusercontent.com/sfackler/rust-log-mdc/v0.1.0/LICENSE-APACHE;MIT/Apache-2.0;Yes;No;N/A;crates|github;https://github.com/sfackler/rust-log-mdc;NOT_KNOWN;notice
log4rs-1.4.0;https://raw.githubusercontent.com/estk/log4rs/v1.4.0/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/estk/log4rs;NOT_KNOWN;notice
logos-0.15.1;https://raw.githubusercontent.com/maciejhirsz/logos/v0.15.1/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/maciejhirsz/logos;NOT_KNOWN;notice
logos-codegen-0.15.1;https://raw.githubusercontent.com/maciejhirsz/logos/v0.15.1/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/maciejhirsz/logos;NOT_KNOWN;notice
logos-derive-0.15.1;https://raw.githubusercontent.com/maciejhirsz/logos/v0.15.1/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/maciejhirsz/logos;NOT_KNOWN;notice
madler.zlib-1.3.1;https://raw.githubusercontent.com/madler/zlib/v1.3.1/LICENSE;Other;Yes;No;N/A;github;https://github.com/madler/zlib;NOT_KNOWN;notice
matchers-0.2.0;https://raw.githubusercontent.com/hawkw/matchers/main/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/hawkw/matchers;NOT_KNOWN;notice
matchit-0.8.4;https://raw.githubusercontent.com/ibraheemdev/matchit/v0.8.4/LICENSE;MIT AND BSD-3-Clause;Yes;No;N/A;crates|github;https://github.com/ibraheemdev/matchit;NOT_KNOWN;notice
memchr-2.7.6;https://raw.githubusercontent.com/BurntSushi/memchr/2.7.6/UNLICENSE;Unlicense OR MIT;Yes;No;N/A;crates|github;https://github.com/BurntSushi/memchr;NOT_KNOWN;unencumbered
memoffset-0.7.1;https://raw.githubusercontent.com/Gilnaa/memoffset/v0.7.1/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/Gilnaa/memoffset;NOT_KNOWN;notice
metrics-0.22.4;https://raw.githubusercontent.com/metrics-rs/metrics/metrics-v0.22.4/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/metrics-rs/metrics;NOT_KNOWN;notice
mime-0.3.17;https://raw.githubusercontent.com/hyperium/mime/v0.3.17/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/hyperium/mime;NOT_KNOWN;notice
mio-1.1.1;https://raw.githubusercontent.com/tokio-rs/mio/v1.1.1/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/tokio-rs/mio;NOT_KNOWN;notice
